condition,environment,run,n_train,n_test,states,state_by_mean,test_observations,occupancy,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run8,70000,30001,4,2,622,0.020732642245258493,0.9742765273311897,145060308.08360127
interference,container,docker_cpu3-interf_io-run8,70000,30001,4,3,1066,0.035532148928369055,1.0,1552798279.3611631
interference,container,docker_cpu3-interf_io-run8,70000,30001,5,0,23818,0.7939068697710077,0.0,605501.5756990511
interference,container,docker_cpu3-interf_io-run8,70000,30001,5,1,4501,0.15002833238892038,0.0,606482.3608087092
interference,container,docker_cpu3-interf_io-run8,70000,30001,5,2,679,0.022632578914036198,0.9852724594992637,179012982.3976436
interference,container,docker_cpu3-interf_io-run8,70000,30001,5,3,2,6.666444451851606e-05,1.0,520013953.99999917
interference,container,docker_cpu3-interf_io-run8,70000,30001,5,4,1001,0.03336555448151728,1.0,1621295678.3756244
interference,container,docker_cpu3-interf_io-run7,70000,30001,2,0,28572,0.9523682543915203,0.0,600508.8386182276
interference,container,docker_cpu3-interf_io-run7,70000,30001,2,1,1429,0.047631745608479714,0.9923023093072079,753064184.7277817
interference,container,docker_cpu3-interf_io-run7,70000,30001,3,0,14282,0.4760507983067231,0.0,600429.346800168
interference,container,docker_cpu3-interf_io-run7,70000,30001,3,1,14290,0.4763174560847972,0.0,600588.3458362492
interference,container,docker_cpu3-interf_io-run7,70000,30001,3,2,1429,0.047631745608479714,0.9923023093072079,753064184.1287614
interference,container,docker_cpu3-interf_io-run7,70000,30001,4,0,14282,0.4760507983067231,0.0,600429.3587732811
interference,container,docker_cpu3-interf_io-run7,70000,30001,4,1,14289,0.47628412386253793,0.0,600588.0858702499
interference,container,docker_cpu3-interf_io-run7,70000,30001,4,2,696,0.023199226692443585,0.9827586206896551,171409987.70545977
interference,container,docker_cpu3-interf_io-run7,70000,30001,4,3,734,0.02446585113829539,1.0,1303580343.0640328
interference,container,docker_cpu3-interf_io-run7,70000,30001,5,0,14282,0.4760507983067231,0.0,600429.3135415209
interference,container,docker_cpu3-interf_io-run7,70000,30001,5,1,14288,0.47625079164027867,0.0,600587.8964165733
interference,container,docker_cpu3-interf_io-run7,70000,30001,5,2,525,0.017499416686110464,0.9752380952380952,103366166.28
interference,container,docker_cpu3-interf_io-run7,70000,30001,5,3,442,0.014732842238592047,1.0,570175868.9524887
interference,container,docker_cpu3-interf_io-run7,70000,30001,5,4,464,0.015466151128295724,1.0,1659148611.6788793
interference,host,host_cpu3-interf_io-run2,70000,30001,2,0,29941,0.9980000666644445,0.0,607302.3264420026
interference,host,host_cpu3-interf_io-run2,70000,30001,2,1,60,0.0019999333355554816,0.0,751434.35
interference,host,host_cpu3-interf_io-run2,70000,30001,3,0,29882,0.9960334655511482,0.0,607293.856636102
interference,host,host_cpu3-interf_io-run2,70000,30001,3,1,113,0.0037665411152961567,0.0,627009.4336283186
interference,host,host_cpu3-interf_io-run2,70000,30001,3,2,6,0.00019999333355554815,0.0,1719654.4999999993
interference,host,host_cpu3-interf_io-run2,70000,30001,4,0,29880,0.9959668011066298,0.0,607293.7484605087
interference,host,host_cpu3-interf_io-run2,70000,30001,4,1,113,0.0037665411152961567,0.0,625136.4513274336
interference,host,host_cpu3-interf_io-run2,70000,30001,4,2,8,0.0002666577780740642,0.0,1468424.2499999995
interference,host,host_cpu3-interf_io-run2,70000,30001,4,3,0,0.0,,
interference,host,host_cpu3-interf_io-run2,70000,30001,5,0,29882,0.9960334655511482,0.0,607293.1201392142
interference,host,host_cpu3-interf_io-run2,70000,30001,5,1,108,0.0035998800039998666,0.0,623319.1111111111
interference,host,host_cpu3-interf_io-run2,70000,30001,5,2,11,0.00036665444485183826,0.0,1261230.636363636
interference,host,host_cpu3-interf_io-run2,70000,30001,5,3,0,0.0,,
interference,host,host_cpu3-interf_io-run2,70000,30001,5,4,0,0.0,,
interference,container,docker_cpu3-interf_io-run10,70000,30001,2,0,26933,0.8977367421085963,0.0,598644.7368284261
interference,container,docker_cpu3-interf_io-run10,70000,30001,2,1,3068,0.10226325789140361,0.9960886571056062,764254340.976206
interference,container,docker_cpu3-interf_io-run10,70000,30001,3,0,26931,0.8976700776640779,0.0,598644.4853143218
interference,container,docker_cpu3-interf_io-run10,70000,30001,3,1,1039,0.03463217892736909,0.9865255052935515,158644435.45813283
