condition,environment,run,states,n,median_inter_release_ns,from_state,to_state,count,observed_probability,model_probability
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,2,1,2,0.0014234875444839859,0.0012946388627929869
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,2,2,1357,0.9658362989323843,0.9658216745388482
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,2,3,0,0.0,2.318150902916374e-24
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,3,0,0,0.0,2.8817511714215004e-225
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,3,1,0,0.0,9.403772240537416e-234
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,3,2,9,0.009625668449197862,0.009943785335232786
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,3,3,926,0.9903743315508021,0.9900562146647671
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,0,0,0,0.0,1.5555856505480028e-05
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,0,1,47388,0.9992830331913458,0.9992717289140559
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,0,2,29,0.0006115305132638859,0.0006069341132306827
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,0,3,5,0.00010543629539032517,0.00010578111620790942
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,1,0,47385,0.9987564286316499,0.9985071558988906
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,1,1,18,0.00037939465475086417,0.0007140758431112818
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,1,2,35,0.000737711828682236,0.0006525008216718463
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,1,3,6,0.00012646488491695472,0.00012626743632616276
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,2,0,37,0.015677966101694914,0.016144215841451027
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,2,1,38,0.016101694915254237,0.013868529975356802
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,2,2,2285,0.9682203389830508,0.9699872541831921
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,2,3,0,0.0,3.525109420617146e-55
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,3,0,0,0.0,0.0
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,3,1,0,0.0,0.0
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,3,2,11,0.003965392934390771,0.003970377392361673
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,3,3,2763,0.9960346070656092,0.9960296226076384
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,0,0,77899,0.9456286872708732,0.9381987156451934
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,0,1,4428,0.05375221539731482,0.06118363237390589
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,0,2,31,0.00037631406443467915,0.00033864619212734166
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,0,3,20,0.00024278326737721235,0.0002790057887733423
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,1,0,4434,0.2858985105422658,0.29563581769710595
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,1,1,11051,0.7125540009027017,0.7028828629730244
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,1,2,23,0.0014830098652395384,0.0014069599797628257
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,1,3,1,6.44786897930234e-05,7.435935010669775e-05
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,2,0,46,0.04500978473581213,0.045088513161644916
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,2,1,30,0.029354207436399216,0.030493121025531197
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,2,2,946,0.9256360078277887,0.9244183658128238
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,2,3,0,0.0,4.479799968943056e-29
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,3,0,0,0.0,3.7617353003759054e-219
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,3,1,0,0.0,1.1295664134265845e-236
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,3,2,21,0.01924839596700275,0.021553472353478438
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,3,3,1070,0.9807516040329972,0.9784465276465216
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,0,0,73717,0.9458658386368303,0.9393486984282572
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,0,1,17,0.00021812769451857935,0.0002141229574592326
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,0,2,4149,0.05323598850338739,0.059758972500396974
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,0,3,53,0.0006800451652638062,0.0006782061138864333
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,1,0,28,0.0022071574964527825,0.0023541289518810857
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,1,1,12648,0.9970045719690998,0.9968653809163449
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,1,2,0,0.0,1.3687501712484478e-06
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,1,3,10,0.0007882705344474224,0.0007791213816027839
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,2,0,4148,0.997834977146981,0.9971938171523841
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,2,1,1,0.00024055809477988935,0.000689728205741026
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,2,2,4,0.0009622323791195574,0.0011274646836024502
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,2,3,4,0.0009622323791195574,0.000988989958272405
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,3,0,44,0.00842750430951925,0.008370156166000132
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,3,1,19,0.003639149588201494,0.003581284009823357
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,3,2,4,0.0007661367554108408,0.0008802048493102062
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,3,3,5154,0.9871672093468684,0.9871683549748663
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,0,0,0,0.0,0.00023078891848003473
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,0,1,47946,0.9993330276376673,0.9990831237342381
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,0,2,28,0.0005836008170411438,0.00060122835056337
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,0,3,4,8.337154529159198e-05,8.485899671847186e-05
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,1,0,47952,0.9987087099595952,0.9982395279356737
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,1,1,29,0.0006039905027700254,0.001076574179320553
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,1,2,27,0.0005623359853376099,0.0005616642245106816
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,1,3,6,0.00012496355229724664,0.00012223366049498829
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,2,0,27,0.014438502673796792,0.01396772731007928
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,2,1,38,0.020320855614973262,0.020962630803496904
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,2,2,1805,0.9652406417112299,0.9650696418793404
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,2,3,0,0.0,7.083431538428922e-12
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,3,0,0,0.0,4.0647395332324303e-165
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,3,1,0,0.0,4.675946363478877e-167
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,3,2,10,0.004677268475210477,0.004674892834706418
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,3,3,2128,0.9953227315247896,0.9953251071652935
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,0,0,0,0.0,1.5898712708744345e-07
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,0,1,48277,0.9993996604976607,0.9993693030014115
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,0,2,27,0.0005589367780399951,0.0005893204451835681
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,0,3,2,4.140272429925889e-05,4.121756627787109e-05
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,1,0,48270,0.9989238856007615,0.9986620562748929
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,1,1,15,0.0003104176151649352,0.0005903721013328099
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,1,2,34,0.0007036132610405199,0.0006906587483004721
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,1,3,3,6.208352303298705e-05,5.691287547377566e-05
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,2,0,36,0.021686746987951807,0.021999483563331368
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,2,1,30,0.018072289156626505,0.018046472146338907
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,2,2,1594,0.9602409638554217,0.9599540442903297
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,2,3,0,0.0,6.0967323608148554e-86
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,3,0,0,0.0,0.0
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,3,1,0,0.0,0.0
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,3,2,4,0.0029282576866764276,0.0029328539997287638
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,3,3,1362,0.9970717423133236,0.9970671460002712
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,0,0,92418,0.9606561125952413,0.9326860828867348
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,0,1,3618,0.03760797480328056,0.06543983089109205
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,0,2,141,0.0014656507593318296,0.0015863003677562895
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,0,3,26,0.0002702618421462948,0.00028778585441678194
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,1,0,3619,1.0,1.0
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,1,1,0,0.0,3.113187289371726e-132
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,1,2,0,0.0,9.218834257814249e-131
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,1,3,0,0.0,2.487321760675943e-217
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,2,0,147,1.0,1.0
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,2,1,0,0.0,2.059138755160313e-87
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,2,2,0,0.0,0.0
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,2,3,0,0.0,0.0
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,3,0,20,0.6451612903225806,0.6434797816991611
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,3,1,0,0.0,4.136624855869302e-18
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,3,2,6,0.1935483870967742,0.19411066400485297
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,3,3,5,0.16129032258064516,0.16240955429598586
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,0,0,65985,0.9989100322448794,0.9986117422521418
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,0,1,34,0.0005147069954736061,0.0008046762511186149
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,0,2,33,0.0004995685544302648,0.0005062289190289358
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,0,3,5,7.569220521670678e-05,7.73525777106437e-05
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,1,0,41,0.0012504956232653186,0.0018621346516213267
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,1,1,32710,0.9976515082197213,0.9970501453609193
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,1,2,36,0.0010979961570134504,0.001087719987459364
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,1,3,0,0.0,7.373152445012532e-49
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,2,0,31,0.043115438108484005,0.042653915400552564
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,2,1,43,0.059805285118219746,0.06034788969455121
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,2,2,645,0.8970792767732962,0.8969981949048961
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,2,3,0,0.0,2.189354026716842e-72
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,3,0,0,0.0,0.0
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,3,1,0,0.0,0.0
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,3,2,5,0.011441647597254004,0.01172745975571227
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,3,3,432,0.988558352402746,0.9882725402442877
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,0,0,68645,0.8668720875901348,0.8481803841243922
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,0,1,10486,0.13242072562415547,0.151108686434693
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,0,2,49,0.0006187884374960536,0.000619589949518021
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,0,3,7,8.839834821372195e-05,9.133949139684485e-05
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,1,0,10492,0.5916652568657306,0.5714264554776393
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,1,1,7228,0.4076016466474934,0.4278599606165227
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,1,2,13,0.0007330964867760672,0.0007135839058380235
