condition,environment,run,states,n,median_inter_release_ns,state_by_mean,dwell_activations,dwell_us,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,15,75000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,15,75000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,19,95000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,14,70000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,9,45000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,5,25000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,92,460000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,7,35000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,9,45000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,43,215000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,16,80000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,12,60000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,17,85000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,3,418,2090000.0,1.0,1414139479.2110727
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,94,470000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,36,180000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,6,30000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,8,40000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,3,15000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,6,30000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,9,45000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,3,15000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,14,70000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,8,40000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,38,190000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,12,60000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,20,100000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,5,25000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,6,30000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,3,15000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,1,5000.0,1.0,19997751.408163264
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,4,20000.0,1.0,83679178.35135135
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,7,35000.0,1.0,19997751.408163264
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,63,315000.0,0.9820580474934036,125049239.43482848
