condition,environment,run,sensitivity,order_gmm,order_hmm,train_bic_gmm,train_bic_hmm,test_loglik_per_obs_gmm,test_loglik_per_obs_hmm,temporal_gain_per_obs_gmm,temporal_gain_per_obs_hmm,n_train_gmm,n_train_hmm,n_test_gmm,n_test_hmm,kept_fraction_gmm,kept_fraction_hmm,run_number,hmm_minus_gmm_test_loglik_per_obs,hmm_wins
interference,container,docker_cpu3-interf_io-run3,train_q_0.9999,5.0,5.0,-191240.7554910933,-231921.29755374853,1.2235781538681176,1.3939864180744925,0.0,0.13919519968926056,69903.0,69903.0,29984.0,29984.0,0.998860011399886,0.998860011399886,3,0.1704082642063749,True
interference,container,docker_cpu3-interf_io-run4,base_stable,5.0,5.0,-146272.73328974025,-176673.85759832492,-202.18613866972484,-204.95282623381084,0.0,0.9804317871124091,67643.0,67643.0,29799.0,29799.0,0.974410255897441,0.974410255897441,4,-2.7666875640859985,False
interference,container,docker_cpu3-interf_io-run4,cap_1000us,5.0,5.0,88292.32176282408,56528.500981602956,-2.4508139860874882,-2.6879161629039134,0.0,1.0881683033322966,67642.0,67642.0,29798.0,29798.0,0.974390256097439,0.974390256097439,4,-0.2371021768164252,False
interference,container,docker_cpu3-interf_io-run4,cap_1500us,5.0,5.0,-146272.73328974025,-176673.85759832492,-30.10508076144514,-24.397306070148428,0.0,0.9818440515032166,67643.0,67643.0,29798.0,29798.0,0.9744002559974401,0.9744002559974401,4,5.707774691296713,True
interference,container,docker_cpu3-interf_io-run4,cap_2000us,5.0,5.0,-146272.73328974025,-176673.85759832492,-30.10508076144514,-24.397306070148428,0.0,0.9831315914839958,67643.0,67643.0,29798.0,29798.0,0.9744002559974401,0.9744002559974401,4,5.707774691296713,True
interference,container,docker_cpu3-interf_io-run4,cap_2500us,5.0,5.0,-146272.73328974025,-176673.85759832492,-30.10508076144514,-24.397306070148428,0.0,0.979411747910501,67643.0,67643.0,29798.0,29798.0,0.9744002559974401,0.9744002559974401,4,5.707774691296713,True
interference,container,docker_cpu3-interf_io-run4,train_q_0.999,4.0,5.0,162822.2122183194,129618.82186467116,-2.162368759534432,-1.352907105955189,0.0,1.3146985230261035,67575.0,67575.0,29278.0,29278.0,0.9685203147968521,0.9685203147968521,4,0.8094616535792432,True
interference,container,docker_cpu3-interf_io-run4,train_q_0.9995,4.0,5.0,162095.1144832113,128685.53377220892,-2.173048797301007,-1.362805528042574,0.0,1.3219133417857085,67610.0,67610.0,29408.0,29408.0,0.9701702982970171,0.9701702982970171,4,0.8102432692584332,True
interference,container,docker_cpu3-interf_io-run4,train_q_0.9999,4.0,5.0,160757.89770245954,127658.16849258298,-2.2755876281507397,-1.4385333656464971,0.0,1.0500275679989817,67636.0,67636.0,29675.0,29675.0,0.9731002689973101,0.9731002689973101,4,0.8370542625042425,True
interference,container,docker_cpu3-interf_io-run5,base_stable,5.0,5.0,-180341.44287299993,-218203.49246412696,1.4311538739541962,1.6951959664663165,0.0,0.7410677046136313,68345.0,68345.0,29285.0,29285.0,0.9762902370976291,0.9762902370976291,5,0.2640420925121203,True
interference,container,docker_cpu3-interf_io-run5,cap_1000us,5.0,5.0,-23032.574066700647,-58783.298312488994,0.28186914159284476,0.5281775221840874,0.0,0.7384282594689547,68344.0,68344.0,29285.0,29285.0,0.976280237197628,0.976280237197628,5,0.24630838059124266,True
interference,container,docker_cpu3-interf_io-run5,cap_1500us,5.0,5.0,-23032.574066700647,-58783.298312488994,0.28186914159284476,0.5281775221840874,0.0,0.739773510886428,68344.0,68344.0,29285.0,29285.0,0.976280237197628,0.976280237197628,5,0.24630838059124266,True
interference,container,docker_cpu3-interf_io-run5,cap_2000us,5.0,5.0,-23032.574066700647,-58783.298312488994,0.28186914159284476,0.5281775221840874,0.0,0.7381776815129611,68344.0,68344.0,29285.0,29285.0,0.976280237197628,0.976280237197628,5,0.24630838059124266,True
interference,container,docker_cpu3-interf_io-run5,cap_2500us,5.0,5.0,-23032.574066700647,-58783.298312488994,0.28186914159284476,0.5281775221840874,0.0,0.7425516730001307,68344.0,68344.0,29285.0,29285.0,0.976280237197628,0.976280237197628,5,0.24630838059124266,True
interference,container,docker_cpu3-interf_io-run5,train_q_0.999,5.0,5.0,92719.43240663673,50688.25081881049,-0.5728960830538402,-0.304214824819727,0.0,0.7054389170144143,68276.0,68276.0,29275.0,29275.0,0.9755002449975501,0.9755002449975501,5,0.2686812582341132,True
interference,container,docker_cpu3-interf_io-run5,train_q_0.9995,5.0,5.0,91639.93631449781,48056.01298863731,-0.5614816186802444,-0.277917112995885,0.0,0.8039012734157969,68310.0,68310.0,29279.0,29279.0,0.975880241197588,0.975880241197588,5,0.28356450568435937,True
interference,container,docker_cpu3-interf_io-run5,train_q_0.9999,5.0,5.0,15473.427598521399,-25334.96803573754,-0.0001241991242952364,0.2071538479451076,0.0,0.6902733771075549,68338.0,68338.0,29283.0,29283.0,0.97620023799762,0.97620023799762,5,0.20727804706940284,True
interference,container,docker_cpu3-interf_io-run6,base_stable,5.0,5.0,-104069.48309900954,-129090.32564844094,0.8444381379009283,1.0079446607998341,0.0,0.28204033630873476,68259.0,68259.0,28958.0,28958.0,0.9721602783972161,0.9721602783972161,6,0.16350652289890588,True
interference,container,docker_cpu3-interf_io-run6,cap_1000us,5.0,5.0,-104069.48309900954,-129090.32564844094,0.8444381379009283,1.0079446607998341,0.0,0.28215611629290827,68259.0,68259.0,28958.0,28958.0,0.9721602783972161,0.9721602783972161,6,0.16350652289890588,True
interference,container,docker_cpu3-interf_io-run6,cap_1500us,5.0,5.0,-104069.48309900954,-129090.32564844094,0.8444381379009283,1.0079446607998341,0.0,0.28171761397691303,68259.0,68259.0,28958.0,28958.0,0.9721602783972161,0.9721602783972161,6,0.16350652289890588,True
interference,container,docker_cpu3-interf_io-run6,cap_2000us,5.0,5.0,-104069.48309900954,-129090.32564844094,0.8444381379009283,1.0079446607998341,0.0,0.2824300408122467,68259.0,68259.0,28958.0,28958.0,0.9721602783972161,0.9721602783972161,6,0.16350652289890588,True
interference,container,docker_cpu3-interf_io-run6,cap_2500us,5.0,5.0,-104069.48309900954,-129090.32564844094,0.8444381379009283,1.0079446607998341,0.0,0.282135050838658,68259.0,68259.0,28958.0,28958.0,0.9721602783972161,0.9721602783972161,6,0.16350652289890588,True
interference,container,docker_cpu3-interf_io-run6,train_q_0.999,4.0,5.0,179263.3571094091,152413.1069642748,-1.251263173344828,-1.0777038754590937,0.0,0.23772397721264363,68191.0,68191.0,28954.0,28954.0,0.971440285597144,0.971440285597144,6,0.17355929788573432,True
