condition,environment,run,sensitivity,mask_type,cap_response_ns,cap_response_us,observations,kept,kept_fraction,train_kept,test_kept,misses,delta_mad_ns,shock_threshold_ns
interference,host,host_cpu3-interf_io-run7,cap_1500us,fixed_cap,1500000.0,1500.0,100001,95700,0.9569904300956991,66584,29116,3971,700.0,1000000.0
interference,host,host_cpu3-interf_io-run7,cap_1000us,fixed_cap,1000000.0,1000.0,100001,95700,0.9569904300956991,66584,29116,3971,700.0,1000000.0
interference,host,host_cpu3-interf_io-run7,train_q_0.999,train_quantile,606542.0,606.542,100001,95623,0.956220437795622,66518,29105,3971,700.0,1000000.0
interference,host,host_cpu3-interf_io-run7,train_q_0.9995,train_quantile,607141.2955000002,607.1412955000003,100001,95662,0.956610433895661,66550,29112,3971,700.0,1000000.0
interference,host,host_cpu3-interf_io-run7,train_q_0.9999,train_quantile,651197.0967000232,651.1970967000232,100001,95693,0.956920430795692,66577,29116,3971,700.0,1000000.0
interference,host,host_cpu3-interf_io-run2,base_stable,base,,,100001,99887,0.998860011399886,69886,30001,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run2,cap_2500us,fixed_cap,2500000.0,2500.0,100001,99886,0.998850011499885,69886,30000,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run2,cap_2000us,fixed_cap,2000000.0,2000.0,100001,99884,0.998830011699883,69886,29998,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run2,cap_1500us,fixed_cap,1500000.0,1500.0,100001,99884,0.998830011699883,69886,29998,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run2,cap_1000us,fixed_cap,1000000.0,1000.0,100001,99878,0.998770012299877,69882,29996,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run2,train_q_0.999,train_quantile,642040.2550000044,642.0402550000044,100001,99787,0.997860021399786,69816,29971,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run2,train_q_0.9995,train_quantile,663616.3600000052,663.6163600000052,100001,99834,0.998330016699833,69851,29983,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run2,train_q_0.9999,train_quantile,754165.5715000113,754.1655715000113,100001,99874,0.998730012699873,69879,29995,78,759.0,1000000.0
interference,host,host_cpu3-interf_io-run9,base_stable,base,,,100001,97376,0.9737502624973751,67785,29591,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run9,cap_2500us,fixed_cap,2500000.0,2500.0,100001,97376,0.9737502624973751,67785,29591,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run9,cap_2000us,fixed_cap,2000000.0,2000.0,100001,97376,0.9737502624973751,67785,29591,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run9,cap_1500us,fixed_cap,1500000.0,1500.0,100001,97376,0.9737502624973751,67785,29591,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run9,cap_1000us,fixed_cap,1000000.0,1000.0,100001,97376,0.9737502624973751,67785,29591,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run9,train_q_0.999,train_quantile,609353.832,609.353832,100001,97300,0.972990270097299,67717,29583,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run9,train_q_0.9995,train_quantile,610120.1840000004,610.1201840000003,100001,97341,0.97340026599734,67751,29590,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run9,train_q_0.9999,train_quantile,656633.4392000118,656.6334392000118,100001,97369,0.973680263197368,67778,29591,2331,617.0,1000000.0
interference,host,host_cpu3-interf_io-run6,base_stable,base,,,99655,96385,0.9671867944408208,67417,28968,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run6,cap_2500us,fixed_cap,2500000.0,2500.0,99655,96385,0.9671867944408208,67417,28968,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run6,cap_2000us,fixed_cap,2000000.0,2000.0,99655,96385,0.9671867944408208,67417,28968,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run6,cap_1500us,fixed_cap,1500000.0,1500.0,99655,96385,0.9671867944408208,67417,28968,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run6,cap_1000us,fixed_cap,1000000.0,1000.0,99655,96385,0.9671867944408208,67417,28968,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run6,train_q_0.999,train_quantile,596896.336,596.896336,99655,96297,0.9663037479303598,67349,28948,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run6,train_q_0.9995,train_quantile,597452.9000000001,597.4529000000001,99655,96337,0.9667051327078421,67383,28954,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run6,train_q_0.9999,train_quantile,599171.4912000007,599.1714912000008,99655,96369,0.9670262405298279,67410,28959,2981,455.0,1000000.0
interference,host,host_cpu3-interf_io-run8,base_stable,base,,,100001,95730,0.9572904270957291,67927,27803,3965,367.0,1000000.0
interference,host,host_cpu3-interf_io-run8,cap_2500us,fixed_cap,2500000.0,2500.0,100001,95730,0.9572904270957291,67927,27803,3965,367.0,1000000.0
interference,host,host_cpu3-interf_io-run8,cap_2000us,fixed_cap,2000000.0,2000.0,100001,95729,0.957280427195728,67926,27803,3965,367.0,1000000.0
interference,host,host_cpu3-interf_io-run8,cap_1500us,fixed_cap,1500000.0,1500.0,100001,95729,0.957280427195728,67926,27803,3965,367.0,1000000.0
interference,host,host_cpu3-interf_io-run8,cap_1000us,fixed_cap,1000000.0,1000.0,100001,95729,0.957280427195728,67926,27803,3965,367.0,1000000.0
interference,host,host_cpu3-interf_io-run8,train_q_0.999,train_quantile,597536.1099999999,597.5361099999999,100001,95661,0.9566004339956601,67859,27802,3965,367.0,1000000.0
interference,host,host_cpu3-interf_io-run8,train_q_0.9995,train_quantile,598121.5899999997,598.1215899999997,100001,95695,0.956940430595694,67893,27802,3965,367.0,1000000.0
interference,host,host_cpu3-interf_io-run8,train_q_0.9999,train_quantile,602487.9191999966,602.4879191999967,100001,95723,0.957220427795722,67920,27803,3965,367.0,1000000.0
