condition,environment,run,sensitivity,model,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,container,docker_cpu3-interf_io-run10,cap_2500us,gaussian_gmm,100001,94471,0.9447005529944701,67640,26831,40,20,13.302417558153762,0.0011227403782492393,,5,-15737.626750499696,-8388.242004664588,26831,14,31630.960868241567,-0.3126324775321303,-8388.242004664588,0.0,0.0,"component_0_mean=-0.26892502,weight=0.8092653;component_1_mean=0.62836335,weight=0.13505215;component_2_mean=2.0987685,weight=0.04492341;component_3_mean=2.9002726,weight=0.010509545;component_4_mean=32.074474,weight=0.00024959041"
interference,container,docker_cpu3-interf_io-run10,cap_2500us,gaussian_hmm,100001,94471,0.9447005529944701,67640,26831,40,20,13.302417558153762,0.0011227403782492393,,5,4558.151733047439,1164.6934296262264,26831,34,-8738.157002792452,0.04340849873751356,-22109.2369477416,192.00207682038578,0.8674268710583961,state_0_mean=-0.2673416;state_1_mean=0.44606381;state_2_mean=1.1983876;state_3_mean=2.1165435;state_4_mean=3.9046321
interference,container,docker_cpu3-interf_io-run10,train_q_0.999,gaussian_gmm,100001,94392,0.9439105608943911,67572,26820,107,31,13.302404206869603,0.0007501086388042053,,5,-43220.488101916904,-19452.78835918714,26820,14,86596.66948948441,-0.7253090365095876,-19452.78835918714,0.0,0.0,"component_0_mean=-0.49732644,weight=0.4404958;component_1_mean=-0.26018531,weight=0.37168227;component_2_mean=0.50434269,weight=0.076551213;component_3_mean=1.470955,weight=0.036418576;component_4_mean=2.9872001,weight=0.074852146"
interference,container,docker_cpu3-interf_io-run10,train_q_0.999,gaussian_hmm,100001,94392,0.9439105608943911,67572,26820,107,31,13.302404206869603,0.0007501086388042053,,5,-20874.43159255727,-9090.223969930375,26820,34,42126.97545026599,-0.3389345253516173,-32084.674535011534,158.42630729465006,0.8573620643206994,state_0_mean=-0.38249279;state_1_mean=0.68788873;state_2_mean=1.7872596;state_3_mean=3.1811094;state_4_mean=4.5160567
interference,container,docker_cpu3-interf_io-run10,train_q_0.9995,gaussian_gmm,100001,94436,0.944350556494435,67606,26830,73,21,13.302406878627991,0.0007593474244642278,,4,-41774.62667857185,-18860.841130348083,26830,11,83671.58932931407,-0.7029758155180054,-18860.841130348083,0.0,0.0,"component_0_mean=-0.38324788,weight=0.81117179;component_1_mean=0.96161296,weight=0.13445674;component_2_mean=3.1164209,weight=0.045306702;component_3_mean=4.4556874,weight=0.009064768"
interference,container,docker_cpu3-interf_io-run10,train_q_0.9995,gaussian_hmm,100001,94436,0.944350556494435,67606,26830,73,21,13.302406878627991,0.0007593474244642278,,5,-20293.660107013908,-8853.359466675967,26830,34,40965.449582554436,-0.3299798533982843,-31813.03374962944,155.03898710884482,0.8557463392826491,state_0_mean=-0.38136832;state_1_mean=0.67293164;state_2_mean=1.7568363;state_3_mean=3.1393912;state_4_mean=4.514037
interference,container,docker_cpu3-interf_io-run10,train_q_0.9999,gaussian_gmm,100001,94464,0.944630553694463,67633,26831,47,20,13.302410127859721,0.0007804099037795757,,5,-40363.907985477395,-18186.4023700497,26831,14,80883.52188927516,-0.6778130658585106,-18186.4023700497,0.0,0.0,"component_0_mean=-0.45140821,weight=0.5339807;component_1_mean=-0.23152282,weight=0.27633296;component_2_mean=0.91702886,weight=0.13066805;component_3_mean=3.0328456,weight=0.044150651;component_4_mean=3.4499228,weight=0.014867631"
interference,container,docker_cpu3-interf_io-run10,train_q_0.9999,gaussian_hmm,100001,94464,0.944630553694463,67633,26831,47,20,13.302410127859721,0.0007804099037795757,,5,-18847.794057575597,-8211.190378721853,26831,34,38073.731059643505,-0.30603370648585043,-31277.772717560398,112.18528641835792,0.8596989429703905,state_0_mean=-0.37520329;state_1_mean=0.64058343;state_2_mean=1.7027582;state_3_mean=3.0515379;state_4_mean=4.1376177
interference,container,docker_cpu3-interf_io-run2,base_stable,gaussian_gmm,100001,99955,0.999540004599954,69978,29977,4,4,13.30455804758399,0.015599040423851112,,4,84652.16347635756,32761.45599244805,29977,11,-169181.61165467,1.0928864126646445,32761.45599244805,0.0,0.0,"component_0_mean=-0.034984888,weight=0.90096582;component_1_mean=0.12795244,weight=0.097125161;component_2_mean=3.0487339,weight=0.0015839098;component_3_mean=43.873603,weight=0.00032511273"
interference,container,docker_cpu3-interf_io-run2,base_stable,gaussian_hmm,100001,99955,0.999540004599954,69978,29977,4,4,13.30455804758399,0.015599040423851112,,4,86266.08047037938,33817.559435685806,29977,23,-172275.57440848261,1.1281168707904663,31204.75244320999,55.078777726972646,0.0871603893810527,state_0_mean=-0.052264573;state_1_mean=0.031771268;state_2_mean=1.9568232;state_3_mean=44.74739
