condition,environment,run,view,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,model,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,host,host_cpu3-interf_io-run4,cap_2000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,4,-13989.788170262224,-6264.4907509915665,29602,11,28102.23490329378,-0.21162390213470597,-6264.4907509915665,0.0,0.0,"component_0_mean=-0.31046615,weight=0.51384229;component_1_mean=0.2832884,weight=0.48500537;component_2_mean=16.263907,weight=0.0011092474;component_3_mean=94.99481,weight=4.3092303e-05"
interference,host,host_cpu3-interf_io-run4,cap_2000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,4,-13690.315951494209,-5732.767649749161,29602,23,27637.099806960658,-0.1936614975254767,-6169.070134460471,8.206446803968388,0.014738952932616383,state_0_mean=-0.31379527;state_1_mean=0.27199781;state_2_mean=14.42814;state_3_mean=94.99481
interference,host,host_cpu3-interf_io-run4,cap_2000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,5,-9675.040144241191,-3441.988280156501,29602,14,19506.19118655244,-0.11627553138830149,-3441.988280156501,0.0,0.0,"component_0_mean=-0.32107274,weight=0.49547271;component_1_mean=0.058218342,weight=0.3661137;component_2_mean=0.84198082,weight=0.13720877;component_3_mean=15.621227,weight=0.0011617235;component_4_mean=94.99481,weight=4.3092303e-05"
interference,host,host_cpu3-interf_io-run4,cap_2000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,5,-13678.54123626467,-5729.530371974584,29602,34,27736.20893927091,-0.1935521374222885,-6161.0536882529705,14.122165194154187,0.014577505448226002,state_0_mean=-0.31379534;state_1_mean=0.27195957;state_2_mean=6.5738555;state_3_mean=21.501368;state_4_mean=94.99481
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,iid_gaussian,1,-98783.1628046429,-39806.03812233414,29602,2,197588.62716615293,-1.3447077265838165,-39806.03812233414,0.0,0.0,mean=-1.605934e-13;sd=1
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,ar1_gaussian,1,,-39764.45792248409,29585,3,,-1.344074967804093,,,,intercept=-4.9698834e-05;phi=0.055825427;sd=0.99845534
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,2,-39952.99334288178,-17167.667646750808,29602,5,79961.74057793144,-0.5799495860668471,-17167.667646750808,0.0,0.0,"component_0_mean=-0.022573381,weight=0.99860784;component_1_mean=16.192067,weight=0.0013921605"
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,2,-39903.9994760041,-17147.193659459743,29602,7,79886.05440104323,-0.5792579440395832,-17173.117242766577,0.8330314638335233,0.0008757375618821089,state_0_mean=-0.022594648;state_1_mean=15.049963
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,3,-14021.632485948785,-6275.518422589259,29602,8,28132.471199366173,-0.2119964334365671,-6275.518422589259,0.0,0.0,"component_0_mean=-0.31035106,weight=0.514304;component_1_mean=0.28374332,weight=0.4845459;component_2_mean=19.240135,weight=0.0011501025"
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,3,-39836.50731378985,-17141.40382914515,29602,14,79829.12552564975,-0.579062354879574,-17168.153669279534,0.6499459007146269,0.0009036497579347241,state_0_mean=-0.022734473;state_1_mean=12.103953;state_2_mean=94.99481
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,4,-13989.788170262224,-6264.4907509915665,29602,11,28102.23490329378,-0.21162390213470597,-6264.4907509915665,0.0,0.0,"component_0_mean=-0.31046615,weight=0.51384229;component_1_mean=0.2832884,weight=0.48500537;component_2_mean=16.263907,weight=0.0011092474;component_3_mean=94.99481,weight=4.3092303e-05"
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,4,-13690.315951494209,-5732.767649749161,29602,23,27637.099806960658,-0.1936614975254767,-6168.6869676998995,22.708912287449998,0.0147260089842152,state_0_mean=-0.31379527;state_1_mean=0.27199781;state_2_mean=14.42814;state_3_mean=94.99481
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,5,-9675.040144241191,-3441.988280156501,29602,14,19506.19118655244,-0.11627553138830149,-3441.988280156501,0.0,0.0,"component_0_mean=-0.32107274,weight=0.49547271;component_1_mean=0.058218342,weight=0.3661137;component_2_mean=0.84198082,weight=0.13720877;component_3_mean=15.621227,weight=0.0011617235;component_4_mean=94.99481,weight=4.3092303e-05"
interference,host,host_cpu3-interf_io-run4,cap_1500us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,5,-13678.54123626467,-5729.530371974584,29602,34,27736.20893927091,-0.1935521374222885,-6156.5345783064495,12.30802362750002,0.014424843129919098,state_0_mean=-0.31379534;state_1_mean=0.27195957;state_2_mean=6.5738555;state_3_mean=21.501368;state_4_mean=94.99481
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,iid_gaussian,1,-98783.1628046429,-39806.03812233414,29602,2,197588.62716615293,-1.3447077265838165,-39806.03812233414,0.0,0.0,mean=-1.605934e-13;sd=1
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,ar1_gaussian,1,,-39764.45792248409,29585,3,,-1.344074967804093,,,,intercept=-4.9698834e-05;phi=0.055825427;sd=0.99845534
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,2,-39952.99334288178,-17167.667646750808,29602,5,79961.74057793144,-0.5799495860668471,-17167.667646750808,0.0,0.0,"component_0_mean=-0.022573381,weight=0.99860784;component_1_mean=16.192067,weight=0.0013921605"
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,2,-39903.9994760041,-17147.193659459743,29602,7,79886.05440104323,-0.5792579440395832,-17173.515952874895,0.7373074154958583,0.0008892065879046238,state_0_mean=-0.022594648;state_1_mean=15.049963
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,3,-14021.632485948785,-6275.518422589259,29602,8,28132.471199366173,-0.2119964334365671,-6275.518422589259,0.0,0.0,"component_0_mean=-0.31035106,weight=0.514304;component_1_mean=0.28374332,weight=0.4845459;component_2_mean=19.240135,weight=0.0011501025"
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,3,-39836.50731378985,-17141.40382914515,29602,14,79829.12552564975,-0.579062354879574,-17167.4642959156,2.099977628586967,0.0008803616907793443,state_0_mean=-0.022734473;state_1_mean=12.103953;state_2_mean=94.99481
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,4,-13989.788170262224,-6264.4907509915665,29602,11,28102.23490329378,-0.21162390213470597,-6264.4907509915665,0.0,0.0,"component_0_mean=-0.31046615,weight=0.51384229;component_1_mean=0.2832884,weight=0.48500537;component_2_mean=16.263907,weight=0.0011092474;component_3_mean=94.99481,weight=4.3092303e-05"
