condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,shock_job_index,shock_release_ns,response_before_ns,response_after_ns,shock_amplitude_ns,is_deadline_miss_after_shock
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,57783,91286329726762,598457.0,160139916.0,159541459.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,59829,91296559726762,598589.0,53666616.0,53068027.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,60814,91301484726762,598463.0,158610339.0,158011876.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,72115,91357989726762,598392.0,193918592.0,193320200.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,74388,91369354726762,598386.0,99213867.0,98615481.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,75449,91374659726762,600072.0,1814138838.0,1813538766.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,76854,91381684726762,598480.0,1885932811.0,1885334331.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,77877,91386799726762,598495.0,79487625.0,78889130.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,78939,91392109726762,598433.0,98030306.0,97431873.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,80000,91397414726762,600004.0,1005791736.0,1005191732.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,83245,91413639726762,598527.0,211435630.0,210837103.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,85973,91427279726762,598497.0,132676771.0,132078274.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,86655,91430689726762,598394.0,228043572.0,227445178.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,87790,91436364726762,598405.0,1711898658.0,1711300253.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,89197,91443399726762,598512.0,1763709983.0,1763111471.0,True
