condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,episode_id,start_index,end_index,peak_index,start_release_ns,end_release_ns,activations,duration_us,peak_response_ns,onset_jump_ns,shocks_inside_episode,recovery_activations,observed_recovery_slope_ns_per_activation,recovery_slope_error_ns,recovery_r2,fraction_recovery_steps_near_expected,excess_latency_area_ns
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,29,49366,49396,49366,91244244726762,91244394726762,31,155000.0,135851191.0,135252582.0,1,31,-4398212.331451615,3296.6685483846813,0.9999999990922261,1.0,2073179295.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,30,49592,49592,49592,91245374726762,91245374726762,1,5000.0,4837036.0,4237945.0,1,1,,,,,1837036.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,31,50654,50654,50654,91250684726762,91250684726762,1,5000.0,3332677.0,2734302.0,1,1,,,,,332677.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,32,51640,51641,51640,91255614726762,91255619726762,2,10000.0,9166344.0,8567854.0,1,2,-4398029.999999999,3479.0000000009313,1.0,1.0,7934658.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,33,52702,52710,52702,91260924726762,91260964726762,9,45000.0,40958082.0,40359506.0,1,9,-4398786.666666669,2722.3333333311602,0.9999999971611622,1.0,183270532.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,34,54750,54775,54750,91271164726762,91271289726762,26,130000.0,113806646.0,113208306.0,1,26,-4398832.042051284,2676.9579487163574,0.9999999996106015,1.0,1451357245.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,35,55735,55748,55735,91276089726762,91276154726762,14,70000.0,62370179.0,61771464.0,1,14,-4398913.929670329,2595.0703296707943,0.9999999986545474,1.0,430871722.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,36,56796,56796,56796,91281394726762,91281394726762,1,5000.0,6100551.0,5501966.0,1,1,,,,,3100551.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,37,57783,57818,57783,91286329726762,91286504726762,36,180000.0,160139916.0,159541459.0,1,36,-4398859.998455596,2649.0015444038436,0.9999999996844416,1.0,2885857010.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,38,59829,59840,59829,91296559726762,91296614726762,12,60000.0,53666616.0,53068027.0,1,12,-4398532.027972026,2976.9720279742032,0.9999999971616208,1.0,317683442.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,39,60814,60849,60814,91301484726762,91301659726762,36,180000.0,158610339.0,158011876.0,1,36,-4398836.614285712,2672.3857142878696,0.9999999997923368,1.0,2830696421.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,40,72115,72158,72115,91357989726762,91358204726762,44,220000.0,193918592.0,193320200.0,1,44,-4398856.801409438,2652.1985905617476,0.9999999998405592,1.0,4239190548.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,41,74388,74409,74388,91369354726762,91369459726762,22,110000.0,99213867.0,98615481.0,1,22,-4398496.271597967,3012.728402033448,0.9999999988398038,1.0,1100703873.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,42,75449,75860,75449,91374659726762,91376714726762,412,2060000.0,1814138838.0,1813538766.0,1,412,-4398731.764135804,2777.2358641959727,0.9999999999809983,1.0,373766602267.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,43,76854,77282,76854,91381684726762,91383824726762,429,2145000.0,1885932811.0,1885334331.0,1,429,-4398586.421835478,2922.578164521605,0.999999999958919,1.0,403959404817.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,44,77877,77894,77877,91386799726762,91386884726762,18,90000.0,79487625.0,78889130.0,1,18,-4398867.136222907,2641.863777092658,0.9999999992266363,1.0,703743555.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,45,78939,78960,78939,91392109726762,91392214726762,22,110000.0,98030306.0,97431873.0,1,22,-4398783.918125351,2725.0818746490404,0.9999999992424298,1.0,1074589231.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,46,80000,80227,80000,91397414726762,91398549726762,228,1140000.0,1005791736.0,1005191732.0,1,228,-4398713.962462425,2795.037537574768,0.9999999999407886,1.0,114805740290.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,47,83245,83292,83245,91413639726762,91413874726762,48,240000.0,211435630.0,210837103.0,1,48,-4398791.153875384,2717.8461246164516,0.9999999998679932,1.0,5043012913.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,48,85973,86002,85973,91427279726762,91427424726762,30,150000.0,132676771.0,132078274.0,1,30,-4398862.207341494,2646.7926585059613,0.9999999997026221,1.0,1976810456.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,49,86655,86706,86655,91430689726762,91430944726762,52,260000.0,228043572.0,227445178.0,1,52,-4398863.791513701,2645.2084862990305,0.9999999998531754,1.0,5869501456.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,50,87790,88178,87790,91436364726762,91438304726762,389,1945000.0,1711898658.0,1711300253.0,1,389,-4398722.132422341,2786.867577658966,0.9999999999793536,1.0,332807396940.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,51,89197,89597,89197,91443399726762,91445399726762,401,2005000.0,1763709983.0,1763111471.0,1,401,-4398734.738593997,2774.261406002566,0.9999999999777268,1.0,353264680455.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,52,90603,91024,90603,91450429726762,91452534726762,422,2110000.0,1856959296.0,1856360746.0,1,422,-4398649.897273816,2859.1027261838317,0.9999999999589959,1.0,391633475903.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,53,91551,91611,91551,91455169726762,91455469726762,61,305000.0,269942158.0,269343515.0,1,61,-4398593.2878371235,2915.7121628765017,0.9999999998619611,1.0,8234226335.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,54,93596,93615,93596,91465394726762,91465489726762,20,100000.0,87544136.0,86945810.0,1,20,-4398816.232330828,2692.767669172026,0.9999999993433062,1.0,855098603.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,55,94657,94683,94657,91470699726762,91470829726762,27,135000.0,119235043.0,118636594.0,1,27,-4398829.938949939,2679.0610500611365,0.9999999994513626,1.0,1594421957.0
